[2017/02/07 17:38:45] step 0, training accuracy 0.0151286
[2017/02/07 17:38:45] step 1, training accuracy 0.0168286
[2017/02/07 17:38:45] step 2, training accuracy 0.0178
[2017/02/07 17:38:45] step 3, training accuracy 0.0161857
[2017/02/07 17:38:45] step 4, training accuracy 0.0176143
[2017/02/07 17:38:45] step 5, training accuracy 0.0178714
[2017/02/07 17:38:45] step 6, training accuracy 0.0179714
[2017/02/07 17:38:45] step 7, training accuracy 0.0185
[2017/02/07 17:38:45] step 8, training accuracy 0.0185857
[2017/02/07 17:38:45] step 9, training accuracy 0.0191286
[2017/02/07 17:38:45] test accuracy 0.019
